latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
14.703660,74.781420,334.870000,0.460000,0.390000,2026-04-22,12:00:00 AM,N21,VIIRS,n,2.0NRT,305.310000,4.630000,D
14.771580,74.283210,335.810000,0.440000,0.380000,2026-04-22,12:00:00 AM,N21,VIIRS,n,2.0NRT,302.660000,4.710000,D
14.772140,74.287220,335.750000,0.440000,0.380000,2026-04-22,12:00:00 AM,N21,VIIRS,n,2.0NRT,301.980000,4.030000,D
14.801140,74.755580,347.210000,0.460000,0.390000,2026-04-22,12:00:00 AM,N21,VIIRS,n,2.0NRT,308.310000,21.300000,D
14.844060,74.341740,334.260000,0.440000,0.380000,2026-04-22,12:00:00 AM,N21,VIIRS,n,2.0NRT,303.570000,5.040000,D
