Latitude,Longitude,Type,Location,Owner
15.260600,74.103400,Ground Level Reservoir,Fire Station Curchorem,Water Resources Department
15.486200,73.817200,Ground Level Reservoir,Fire Station Panaji,Water Resources Department
15.404700,73.800300,Ground Level Reservoir,Ganesh Benzoplast,Water Resources Department
15.260900,74.007500,Ground Level Reservoir,Goa Carbon Ltd. Near Govt.Primary School Nessai,Water Resources Department
15.583900,73.953400,Ground Level Reservoir,IDC Bicholim,Water Resources Department
15.397500,73.806800,Ground Level Reservoir,Indian Oil Corporation,Water Resources Department
15.568900,74.001600,Ground Level Reservoir,Karapur ,Water Resources Department
15.571400,73.994900,Ground Level Reservoir,Kodal Karapur,Water Resources Department
15.586900,73.942400,Ground Level Reservoir,Lamgao ,Water Resources Department
15.385500,73.817500,Ground Level Reservoir,"Mangor, PWD Tanks",Water Resources Department
15.589700,73.809200,Ground Level Reservoir,Mapusa Fire Station,Water Resources Department
15.620400,73.908000,Ground Level Reservoir,Mulgao,Water Resources Department
15.278000,73.962100,Ground Level Reservoir,Near Junta Quarters,Water Resources Department
15.460800,73.963100,Ground Level Reservoir,"Near kundil factory ,opp acc alcon",Water Resources Department
15.484400,73.816100,Ground Level Reservoir,"Near Training Ground, Fire Force Headquarters",Water Resources Department
15.373100,73.928300,Ground Level Reservoir,"Near WRD Verna Industrial estate, Verna Goa, 403722",Water Resources Department
15.618700,73.919200,Ground Level Reservoir,Nestle India Ltd,Water Resources Department
15.619600,73.966200,Ground Level Reservoir,Nestle India Ltd.,Water Resources Department
15.557600,74.016000,Ground Level Reservoir,PHC junction Sankhali,Water Resources Department
15.533100,73.794000,Ground Level Reservoir,"Pilerne Fire Station, Near Pilerne Industrial Estate, Pilerne",Water Resources Department
15.557300,73.950800,Ground Level Reservoir,Pilgao,Water Resources Department
15.574700,73.992800,Ground Level Reservoir,sarvan,Water Resources Department
15.605000,73.897400,Ground Level Reservoir,Shirgao ,Water Resources Department
15.485300,74.032400,Ground Level Reservoir,surla,Water Resources Department
15.260400,74.009000,Ground Level Reservoir,Tech Force composite Pvt. Ltd,Water Resources Department
15.389400,74.027200,Ground Level Reservoir,United Spirits,Water Resources Department
15.495200,74.039800,Ground Level Reservoir,Velguem ,Water Resources Department
15.533200,74.151200,Ground Level Reservoir,Water Treatment Plant Dabos Valpoi  Sattari Goa.,Water Resources Department
15.410600,74.054000,Open Water Source,"130 MLD Plant, Opa Khandepar",Water Resources Department
15.730200,73.897400,Open Water Source,"15 mld Water Plant Chandel, Pernem Goa.",Water Resources Department
15.187300,74.024100,Open Water Source,Cuncolim industrial estate,GIDC
15.575700,73.940700,Open Water Source,Mayem Lake,Water Resources Department
15.265400,73.938700,Open Water Source,"Monddo, Benaulim",Water Resources Department
15.284200,73.930600,Open Water Source,near our lady of Amparo chapel ,Water Resources Department
15.397400,73.836200,Open Water Source,Near Sai Service,Water Resources Department
15.170000,74.007800,Open Water Source,"Nr. Masjid Demani, Cuncolim",Water Resources Department
15.183100,74.006000,Open Water Source,Sumul milk collection center savarcotto cuncolim,Sumul Milk
15.497900,73.917000,Overhead Reservoir,"ICAR, ELLA, Goa","ICAR, Ella"
15.492400,73.920700,Overhead Reservoir,"Krishi Vigyan Kendra, ICAR, Ella Farm, OldGoa",Krishi Vigyan
15.462900,73.972700,Overhead Reservoir,Kundaim fire station premises,Directorate of Fire & Emergency
15.006700,74.070900,Overhead Reservoir,Mokhard,Water Resources Department
15.006700,74.070900,Overhead Reservoir,"Mokhard, Shristhal ",Water Resources Department
15.530900,74.138700,Overhead Reservoir,Near Fire Station Valpoi,Directorate of Fire & Emergency
15.361700,73.953300,Overhead Reservoir,"Near Iron Exchange, Verna Industrial Estate, Verna",GIDC
15.589700,73.809200,Overhead Reservoir,Near Mapusa Fire Station,Directorate of Fire & Emergency
15.533100,73.794000,Overhead Reservoir,"Pilerne Fire Station, Near Pilerne Industrial Estate, Pilerne",Directorate of Fire & Emergency
15.487600,73.829000,Overhead Reservoir,PWD  Altinho,Water Resources Department
15.373100,73.928300,Overhead Reservoir,"WRD Verna, Verna Industrial Estate, Verna Goa. 403722",Water Resources Department
