Latitude,Longitude,,Date,Dead level (m),Full level (m),Max storage (Ha.m.),Current Level (m),Current Storage (Ha.m.),Discharge (cumecs),Percent_Full,Name,River,District,Spillway Status,Alert Level,Last Updated
15.760558,74.086338,tillari,*1 hour 27 min* ago,64.00,113.20,46217,110.64,42257.60,4.33,91,Tillari Dam,,,Open,Normal,
15.212616,74.178949,selaulim,*1 hour 27 min* ago,20.42,41.15,23436,41.26,23576.00,0,101,Selaulim Dam,,,Open,Normal,
15.616885,74.088487,anjunem,*1 hour 27 min* ago,61.50,93.20,4483,92.77,4352.20,0,97,Anjunem Dam,,,Open,Normal,
15.027984,74.044253,chapoli,*1 hour 27 min* ago,22.00,38.75,1122,35.62,828.91,0,74,Chapoli Dam,,,Open,Normal,
15.671326,73.906421,amthane,*1 hour 27 min* ago,29.00,50.03,585,50.00,584.00,0,100,Amthane Dam,,,Open,Normal,
15.289115,74.101951,panchawadi,*1 hour 27 min* ago,14.70,26.00,436.8,25.85,427.30,0,98,Panchawadi Dam,,,Open,Normal,
15.016787,74.116846,gaunem,*1 hour 27 min* ago,46.00,63.50,177,63.33,173.08,0,98,Gaunem Dam,,,Open,Normal,
